epoch,train_loss,dev_acc,dev_f1,is_best
0,1.603851,0.5211,0.5062,YES
1,1.174382,0.6222,0.6077,YES
2,0.947393,0.6795,0.6663,YES
3,0.844689,0.6833,0.6686,YES
4,0.786934,0.7134,0.7029,YES
5,0.734233,0.7338,0.7207,YES
6,0.698129,0.7278,0.7137,NO
7,0.665200,0.7353,0.7240,YES
8,0.630025,0.7557,0.7505,YES
9,0.597095,0.7300,0.7221,NO
10,0.570945,0.7526,0.7450,NO
11,0.526626,0.7617,0.7524,YES
12,0.517985,0.7474,0.7469,NO
13,0.482038,0.7557,0.7465,NO
14,0.473645,0.7587,0.7475,NO
15,0.442049,0.7519,0.7480,NO
16,0.426418,0.7526,0.7426,NO
17,0.383496,0.7647,0.7621,YES
18,0.360080,0.7647,0.7607,NO
19,0.355872,0.7647,0.7600,NO
20,0.346828,0.7602,0.7531,NO
21,0.332463,0.7677,0.7642,YES
22,0.335141,0.7692,0.7621,NO
23,0.322030,0.7655,0.7639,NO
24,0.317776,0.7730,0.7692,YES
25,0.310817,0.7700,0.7652,NO
26,0.311396,0.7692,0.7622,NO
27,0.290920,0.7632,0.7573,NO
28,0.283833,0.7624,0.7566,NO
29,0.283980,0.7700,0.7682,NO
30,0.269770,0.7760,0.7726,YES
31,0.246836,0.7632,0.7594,NO
32,0.246429,0.7768,0.7734,YES
33,0.243477,0.7738,0.7704,NO
34,0.245073,0.7745,0.7694,NO
35,0.247442,0.7753,0.7732,NO
36,0.234562,0.7805,0.7755,YES
37,0.243060,0.7730,0.7677,NO
38,0.232204,0.7753,0.7693,NO
39,0.222825,0.7677,0.7617,NO
40,0.226775,0.7707,0.7649,NO
41,0.223071,0.7783,0.7741,NO
42,0.215899,0.7730,0.7670,NO
43,0.219793,0.7745,0.7695,NO
44,0.209470,0.7730,0.7681,NO
45,0.218301,0.7775,0.7738,NO
46,0.210028,0.7783,0.7718,NO
